"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"DPT",39.2584612535252,-3.07011675812594,0.385463678394421,-7.96473683568306,1.65575771676298e-15,2.66061689243469e-13,"1805"
"PGM5",11.3672815812843,-2.17581719397052,0.273222028281279,-7.96354967298076,1.67172857971942e-15,2.66061689243469e-13,"5239"
"CYP4F12",8.48078825601822,-3.09799471208689,0.388893914375213,-7.96616917254683,1.63668847074782e-15,2.66061689243469e-13,"66002"
"PLIN5",14.4149168659439,-2.9105530568379,0.365396896694806,-7.96545642058069,1.64615041434898e-15,2.66061689243469e-13,"440503"
"LIFR",12.2905516154096,-2.06556732740211,0.259764509437848,-7.95169182992769,1.83981456166781e-15,2.86361725304296e-13,"3977"
"TSHZ2",13.2297456583997,-1.66734288742607,0.210198196343247,-7.93224164827443,2.15225125851667e-15,3.32199981752049e-13,"128553"
"MAOA",7.61614223014038,-3.07039543178501,0.388069802467856,-7.91196689940679,2.53353764043947e-15,3.87819703935702e-13,"4128"
"LYVE1",6.28856366679239,-2.38591673034035,0.301933512645705,-7.9021262311482,2.74185531430647e-15,4.11638754811909e-13,"10894"
"PGR",8.86450393768815,-3.05006793749664,0.387102247479889,-7.87923076487716,3.29402647334064e-15,4.84221891581074e-13,"5241"
"TP63",21.7319561190903,-3.01577557160652,0.382951598697032,-7.87508286130023,3.40517108070203e-15,4.96618730368213e-13,"8626"
"DNMBP",7.60952910157997,-1.47427399896507,0.187294870104844,-7.87140618501619,3.50677060906288e-15,5.07440665789553e-13,"23268"
"MRGPRF",12.4027445726145,-2.49577866453048,0.318056295299252,-7.84697143687177,4.26204272287004e-15,6.07242733176914e-13,"116535"
"SCN4B",5.39983954566647,-1.91380520105723,0.244232252762446,-7.83600519346111,4.65106647195805e-15,6.5761109308097e-13,"6330"
"ARHGAP6",3.82016546106195,-2.11921811242118,0.270527148224724,-7.83366152464952,4.73863393914984e-15,6.64916498643434e-13,"395"
"ADCY5",8.88428436032001,-2.1887292707295,0.279585293802439,-7.82848497130221,4.93783959686911e-15,6.87659135437667e-13,"111"
"ESR1",20.2685133163236,-2.39483484872924,0.306865779497902,-7.80417696834003,5.9891102097434e-15,8.27838054513935e-13,"2099"
"FREM1",5.91648704833876,-2.39725081710138,0.307435685830517,-7.79756849184689,6.31113850648865e-15,8.65888203090243e-13,"158326"
"AOC3",25.7677190715496,-2.25205330752999,0.289009243710566,-7.7923227597016,6.57884192719429e-15,8.95980221878623e-13,"8639"
"PSMA2",198.495983122958,-1.36741200765875,0.175549815793922,-7.78931041012288,6.73758967465867e-15,9.10902452219181e-13,"5683"
