"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"AURKB",12.7287877766242,2.42590130951818,0.30382562113325,7.98451855531382,1.41071801869872e-15,2.35399271552592e-13,"9212"
"PLK1",14.2146895803018,2.05231180231274,0.257734525120451,7.96289050275123,1.68066178822405e-15,2.66061689243469e-13,"5347"
"CAPS",58.6654779055653,2.17348186152388,0.273169307575269,7.9565375803612,1.76920414249885e-15,2.77705077350539e-13,"828"
"FLAD1",30.1350426287091,1.08022951011027,0.136664000212217,7.90427258409566,2.69502707150212e-15,4.09158126380018e-13,"80308"
"CDCA8",5.06266053043745,2.71310457807177,0.343366051096254,7.90149337539262,2.75581500899885e-15,4.11638754811909e-13,"55143"
"RECQL4",31.0358300874096,2.25659929269652,0.286279767828319,7.88249658652021,3.20903784665399e-15,4.75502391965802e-13,"9401"
"MCM2",21.2996218760776,2.0561180209769,0.261712840678938,7.85638952847288,3.95364247127781e-15,5.67669502736493e-13,"4171"
"FANCA",40.5690129527044,1.89813409943735,0.244133617650794,7.7749804295794,7.54590709046545e-15,1.01279196470725e-12,"2175"
"KIFC1",13.0973060946059,2.28957770304513,0.295141768809025,7.75755228507365,8.65841867982203e-15,1.14690530955435e-12,"3833"
"KIF2C",7.35918838960615,2.51699544733513,0.324811957181814,7.74908494494321,9.25570899204913e-15,1.21584568759386e-12,"11004"
"DTYMK",18.437667590477,1.50425609422561,0.194367656999347,7.73923047408381,1.00020328098903e-14,1.28651147017215e-12,"1841"
"TMEM132A",77.6382125958037,1.92635899599865,0.249560360376231,7.71901031515791,1.17236416725695e-14,1.49755373144367e-12,"54972"
"STMN1",38.0696163465296,1.73249165778083,0.22591820228924,7.66866786396761,1.73791809966387e-14,2.13176947297842e-12,"3925"
"DBNDD1",13.9902420176204,1.86905791122714,0.243838364551047,7.66515111216578,1.78620773535255e-14,2.17658813646053e-12,"79007"
"FOXM1",26.7125313868271,1.60200123793054,0.210012066823348,7.62813900249871,2.38166689371933e-14,2.82777142342753e-12,"2305"
"MCM4",52.6079610083456,1.58944334959097,0.208642350394271,7.61802839446258,2.57579646511004e-14,3.01955076751697e-12,"4173"
"ZWINT",10.9809858269704,2.12116240890209,0.278519574096459,7.61584680639884,2.61968245503043e-14,3.05168292025621e-12,"11130"
"TPX2",7.14612772865064,2.66862250882533,0.351841711828021,7.58472466200866,3.33193864045666e-14,3.76305899381331e-12,"22974"
"COL11A1",21.7609387207182,3.83768932141385,0.507781171969368,7.55776214885998,4.10063000163138e-14,4.54801610121057e-12,"1301"
"PAFAH1B3",19.4630065784692,1.70976930677514,0.226622544160005,7.54456849433289,4.53787486532971e-14,4.97437037585867e-12,"5050"
"NCAPD2",25.8926115554853,1.47425792188895,0.195914373326607,7.52501154895475,5.27156644395166e-14,5.64392795808513e-12,"9918"
"EPCAM",35.0135518331278,2.0888565036871,0.27888568514711,7.49000976003932,6.88684924894327e-14,7.16619223533299e-12,"4072"
"CENPM",11.0007283116528,2.16689700614371,0.289483715341968,7.48538481200556,7.13378022235424e-14,7.30010371704117e-12,"79019"
"ASF1B",9.58662316492692,2.23289603509883,0.298585440060149,7.47824821816167,7.53198366720083e-14,7.58192399368988e-12,"55723"
"LRRC15",12.082189406528,2.35915120947281,0.315844401922922,7.46934628288436,8.05941944139054e-14,8.02562187599116e-12,"131578"
"GFPT1",13.6462232083424,1.16183018816437,0.155990960547994,7.44806099073223,9.47220328764684e-14,9.28275922189391e-12,"2673"
"PARP1",42.5115464105126,1.35582509633427,0.18208555564307,7.44608813997303,9.61485820844175e-14,9.37296861772411e-12,"142"
"MELK",7.8381482482792,2.19519331354452,0.29522384343643,7.435691128441,1.04022641673534e-13,1.00874731365298e-11,"9833"
"CST1",13.1466514534491,4.85469520081694,0.652981461393436,7.43466007512253,1.04837203433664e-13,1.01135139687413e-11,"1469"
"MCM3",26.722316029938,1.61816965608614,0.218040062976501,7.42143271285212,1.15860111353708e-13,1.10049281153507e-11,"4172"
"DDX11",38.3833875024833,1.52343332312102,0.207006799462359,7.35933953414913,1.84822380768906e-13,1.72024127467421e-11,"1663"
"SLC52A2",34.777965976768,1.69147225144057,0.230316521170747,7.34412035594522,2.07116689525182e-13,1.89911649672546e-11,"79581"
"C21orf58",13.0431915885009,1.54085559394006,0.211343839800677,7.29075233701288,3.08228919036134e-13,2.7185790658987e-11,"54058"
"FANCI",16.0374782353338,1.93200194114663,0.266295920714494,7.25509401707286,4.01382935564597e-13,3.39470992352853e-11,"55215"
"LRRC45",16.2087741507554,1.38594260652342,0.191137785422458,7.25101320735812,4.1366533931928e-13,3.48268609766895e-11,"201255"
"F11R",49.866287244254,1.30641200090459,0.180879582945445,7.22255093488698,5.10212842120902e-13,4.23774092455755e-11,"50848"
"TRIM65",21.4203467913691,1.00763852116214,0.139593000869009,7.2184028919021,5.26016787998726e-13,4.34950131576446e-11,"201292"
"TAP1",47.0410543529036,1.60621866150285,0.222807920745693,7.20898366686049,5.63710220710741e-13,4.58777831100648e-11,"6890"
"PRDX4",23.3271826076834,1.50786977505867,0.209368285994588,7.20199703549012,5.93369832335128e-13,4.77843305848314e-11,"10549"
"PPP1R14B",51.0040322620845,1.4354907599482,0.199944693335866,7.17943915389077,6.99979667122292e-13,5.51292594501443e-11,"26472"
"SLC12A8",19.6034479255648,1.32109352554704,0.184253616542823,7.16997337873147,7.50123517249152e-13,5.83772596070958e-11,"84561"
"SAC3D1",8.04179102594123,1.55695688598554,0.219189019858398,7.10326131752117,1.21846697924552e-12,8.99141250581097e-11,"29901"
"LMNB2",25.2461932471121,1.55845222247879,0.219823962728081,7.08954657689695,1.34552111859757e-12,9.77323221908403e-11,"84823"
"BOP1",48.6657447691137,1.68031189917533,0.238194996194921,7.05435431481646,1.73404018390094e-12,1.23057058567867e-10,"23246"
"UBQLN4",27.6145315610515,1.09656869480831,0.155537608984846,7.05018356631126,1.78681911073136e-12,1.26318563240329e-10,"56893"
"CCDC167",7.33419778793889,1.64248089708911,0.233280495404794,7.04079822121021,1.91141638676784e-12,1.33597186097034e-10,"154467"
"PRC1",21.2483683952163,1.79785798719803,0.255785965247103,7.02875932016519,2.08378056367715e-12,1.44014117912046e-10,"9055"
"CKS2",11.5703828006732,2.2516373195839,0.323049560543353,6.96994391757341,3.17067355360635e-12,2.12011608519483e-10,"1164"
"CCT3",83.1871110011229,0.939192118796417,0.134947148226323,6.95970334416609,3.40990006656909e-12,2.25564889403545e-10,"7203"
"CENPA",4.62775459553628,2.35952213247579,0.339149189127573,6.95718052148502,3.47150017671585e-12,2.28011086074933e-10,"1058"
"PMEPA1",65.4540083682438,1.83586432058936,0.263929848628686,6.955879867806,3.50368335483911e-12,2.29311742396926e-10,"56937"
"SLC35E1",49.3654744157666,0.765416980155368,0.110302029575873,6.93928283186177,3.94095431288453e-12,2.55225020221144e-10,"79939"
"CLPSL1",6.954977729034,3.91088690054022,0.564678423356101,6.92586565871655,4.33317527546327e-12,2.76755422248726e-10,"340204"
"IRAK1",63.1206533393413,1.55068026129978,0.225434319776808,6.87863437490369,6.04290335020995e-12,3.76857427113093e-10,"3654"
"CDCA3",12.0918836191021,1.78734856511585,0.261261713342029,6.84121887685836,7.85221740427106e-12,4.69157325038415e-10,"83461"
"ISG15",61.311346698589,2.79608400777012,0.409025589135723,6.83596352413621,8.1455669096389e-12,4.85119582959266e-10,"9636"
"UBE2T",4.25903064082245,2.53284431640354,0.371118833296464,6.82488758090109,8.79941953462808e-12,5.19053658026692e-10,"29089"
"UBE2S",33.4647827821925,1.54404126787239,0.22692449065893,6.80420726466715,1.01607167581369e-11,5.89958607505369e-10,"27338"
"POLD1",25.5930913339757,1.35879904647933,0.199756306428905,6.80228359630258,1.02973631518739e-11,5.92717985611136e-10,"5424"
"FNDC1",12.3834900658804,1.94709950233187,0.286246083294951,6.80218740434454,1.03042431360968e-11,5.92717985611136e-10,"84624"
